name,type,start_time,duration
"Test Analyzer","enable",1.0036989,0.0000001
"Test Analyzer","disable",1.0042965,0.0000001
"Test Analyzer","enable",1.0049688,0.0000001
"Test Analyzer","disable",1.0078605,0.0000001
"Test Analyzer","error",1.0080474,0.0017378
"Test Analyzer","enable",1.0108484,0.0000001
"Test Analyzer","disable",1.0108644,0.0000001
"Test Analyzer","error",1.0138231,0.0003232
"Test Analyzer","error",1.0168832,0.0031115
"Test Analyzer","error",1.0200214,0.0009516
"Test Analyzer","error",1.022078,0.0030833
"Test Analyzer","enable",1.027081,0.0000001
"Test Analyzer","disable",1.0298518,0.0000001
"Test Analyzer","enable",1.032955,0.0000001
"Test Analyzer","disable",1.0360816,0.0000001
"Test Analyzer","enable",1.0361734,0.0000001
"Test Analyzer","disable",1.0365131,0.0000001
"Test Analyzer","enable",1.0367073,0.0000001
"Test Analyzer","disable",1.0374108,0.0000001
"Test Analyzer","enable",1.0395606,0.0000001
"Test Analyzer","disable",1.0419135,0.0000001
"Test Analyzer","error",1.0427222,0.0025169
"Test Analyzer","error",1.0472224,0.0019152
"Test Analyzer","error",1.0515561,0.0005483
"Test Analyzer","error",1.0538701,0.0013656
"Test Analyzer","error",1.055954,0.0026729
"Test Analyzer","enable",1.0610005,0.0000001
"Test Analyzer","disable",1.0615257,0.0000001
"Test Analyzer","error",1.0620935,0.0025397
"Test Analyzer","enable",1.0677978,0.0000001
"Test Analyzer","disable",1.0698354,0.0000001
"Test Analyzer","enable",1.0728575,0.0000001
"Test Analyzer","disable",1.0733885,0.0000001
"Test Analyzer","error",1.0737909,0.0028298
"Test Analyzer","error",1.0798447,0.002986
"Test Analyzer","enable",1.0841394,0.0000001
"Test Analyzer","disable",1.0852325,0.0000001
"Test Analyzer","error",1.088406,0.0017461
"Test Analyzer","enable",1.0903809,0.0000001
"Test Analyzer","disable",1.0916942,0.0000001
"Test Analyzer","enable",1.0936379,0.0000001
"Test Analyzer","disable",1.0946266,0.0000001
"Test Analyzer","enable",1.0974187,0.0000001
"Test Analyzer","disable",1.0990518,0.0000001
"Test Analyzer","error",1.1018395,0.0007223
"Test Analyzer","enable",1.1035515,0.0000001
"Test Analyzer","disable",1.1061589,0.0000001
"Test Analyzer","error",1.106858,0.0025361
"Test Analyzer","enable",1.1099227,0.0000001
"Test Analyzer","disable",1.1126477,0.0000001
"Test Analyzer","error",1.1142833,0.0000634
"Test Analyzer","error",1.1174759,0.0024327
"Test Analyzer","enable",1.1212786,0.0000001
"Test Analyzer","disable",1.1226228,0.0000001
"Test Analyzer","enable",1.1234177,0.0000001
"Test Analyzer","disable",1.1246117,0.0000001
"Test Analyzer","enable",1.127795,0.0000001
"Test Analyzer","disable",1.1282391,0.0000001
"Test Analyzer","enable",1.1293494,0.0000001
"Test Analyzer","disable",1.1310615,0.0000001
"Test Analyzer","error",1.1319091,0.0017311
"Test Analyzer","error",1.1358491,0.0010115
"Test Analyzer","enable",1.1375388,0.0000001
"Test Analyzer","disable",1.1382394,0.0000001
"Test Analyzer","error",1.1386129,0.001141
"Test Analyzer","enable",1.1420388,0.0000001
"Test Analyzer","disable",1.1452008,0.0000001
"Test Analyzer","enable",1.1478827,0.0000001
"Test Analyzer","disable",1.1503229,0.0000001
"Test Analyzer","enable",1.1526224,0.0000001
"Test Analyzer","disable",1.1534259,0.0000001
"Test Analyzer","enable",1.1555834,0.0000001
"Test Analyzer","disable",1.1565535,0.0000001
"Test Analyzer","error",1.1574479,0.0030358
"Test Analyzer","error",1.162317,0.0020573
"Test Analyzer","enable",1.1646184,0.0000001
"Test Analyzer","disable",1.1656358,0.0000001
"Test Analyzer","error",1.1680795,0.0025782
"Test Analyzer","enable",1.1706837,0.0000001
"Test Analyzer","disable",1.1712511,0.0000001
"Test Analyzer","enable",1.1739996,0.0000001
"Test Analyzer","disable",1.1752736,0.0000001
"Test Analyzer","enable",1.1755727,0.0000001
"Test Analyzer","disable",1.1787517,0.0000001
"Test Analyzer","error",1.1813969,0.0030517
"Test Analyzer","error",1.1873414,0.0014756
"Test Analyzer","error",1.1898216,0.0020362
"Test Analyzer","enable",1.193571,0.0000001
"Test Analyzer","disable",1.1958555,0.0000001
"Test Analyzer","error",1.1978404,0.0020682
"Test Analyzer","enable",1.2004265,0.0000001
"Test Analyzer","disable",1.2034171,0.0000001
